Title,Year,Interval,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Fantasy,History,Holiday,Horror,Kids,Lgbtq+,Mystery,Romance,Sci-fi,War,family,thriller
Top Gun: Maverick,2022,7860,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thor: Love and Thunder,2022,7500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babylon,1980,5700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zack Snyder's Justice League,2021,14520,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Funny People,2009,8760,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Triangle of Sadness,2022,8940,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bama Rush,2023,6060,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Panther: Wakanda Forever,2022,9660,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hereditary,2018,7620,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Where the Crawdads Sing,2022,7500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
The Dark Knight,2008,9120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullet Train,1975,9300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Scream VI,2023,7380,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Indiana Jones and the Kingdom of the Crystal Skull,2008,7320,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Kingdom,2007,6600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Tetris,2023,7080,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
After...,2006,5580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Fifty Shades of Grey,2015,7500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
It Follows,2014,6060,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Operation Fortune: Ruse de guerre,2023,6840,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smile,2018,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Robots,2005,5400,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Jurassic World Dominion,2022,8820,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Barbarian,1921,3120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Moonlight,2021,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Magic Mike's Last Dance,2023,6720,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Thousand and One,2023,7020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Plane,2023,6420,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wick,2014,6060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Don't Worry Darling,2022,7380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
She Said,2022,7740,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Violent Night,2022,6720,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Doctor Strange in the Multiverse of Madness,2022,7560,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pearl,2018,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Follow Her,2022,5520,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
The Banshees of Inisherin,2022,6540,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grandpa Was an Emperor,2021,5520,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Terminator,1984,6480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
We're the Millers,2013,6600,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidden Beauty: A Love Story That Feeds the Earth,2011,4620,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
His House,2020,5580,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Blow the Man Down,2019,5400,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eternals,2021,9420,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Offering,2020,5400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
